作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
冬瓜(元/公斤),2015,56.07,64.96,46.86,32.21,20.52,42.06,24.62,49.96,73.14,60.71,38.56,29.13,
苦瓜(元/公斤),2015,-,-,-,-,-,-,-,-,-,-,-,-,
絲瓜(菱角)(元/公斤),2015,27.43,19.89,22.03,20.74,15.81,25.92,19.99,33.74,37.42,34.40,25.41,24.30,
絲瓜(元/公斤),2015,18.80,17.90,14,12.87,8.73,-,-,-,-,36.33,16.33,14.30,
扁蒲(元/公斤),2015,26.20,21.75,18.07,27.33,22.52,41.61,23.34,40,54.67,51.48,36.64,26.33,
茄子(元/公斤),2015,21.75,19.10,12.97,14.59,27.67,48.33,41.96,36.37,52.95,63.17,47.06,30.13,
番茄(黑柿)(元/公斤),2015,38.22,33.34,29.78,27.17,33.50,56.67,65,80,84.67,60,96.22,82.89,
小蕃茄(聖女)(元/公斤),2015,43.61,30.71,20.01,28.73,23.38,52.76,33.50,39.52,68.98,74.30,54.85,31.02,
甜椒(青椒)(元/公斤),2015,-,-,-,14.73,10.45,12.38,16.67,-,-,-,-,-,
西瓜(大粒)(元/公斤),2015,-,-,15.25,9.96,10.33,14.08,12.19,9.16,18.62,19,-,-,
西瓜(小粒)(元/公斤),2015,-,-,-,-,-,-,-,-,-,-,-,-,
西瓜(無子)(元/公斤),2015,31.17,41.63,42.16,43.18,38.04,32.04,32.33,29.78,39.11,35.42,37.67,28.33,
洋香瓜(元/ 公斤),2015,-,-,52.50,45.72,33.91,35.81,38.28,35.51,35.58,41.24,38.50,-,
香瓜(美濃瓜)(元/公斤),2015,73.53,76.59,55.56,69.25,60.08,63.14,71.41,79.58,113.70,102.27,60.60,50.72,
敏豆(四季豆)(元/公斤),2015,57.78,53.50,40.67,38.75,29,35.58,32.58,43.47,64.73,59.92,42.08,35.11,
豇豆(元/公斤),2015,59.32,53.58,38.76,58.67,-,-,-,-,-,-,89,65.66,
豌豆(元/公斤),2015,48.50,42.75,31.33,49.33,-,-,-,-,-,-,-,-,
甜豌豆(元/公斤),2015,34.87,14.70,14.70,14.70,13.27,-,-,-,-,-,-,-,
毛豆(帶莢)(元/公斤),2015,43.25,52.23,50.17,42.93,34.09,45.45,60.81,77.13,152.06,79.86,78.62,64.34,
辣椒(元/公斤),2015,18.86,19.36,13.68,14.55,12.57,14.96,14.09,23.12,32.17,27.68,23.18,24.07,
甜玉米(鮮食)(元/公斤),2015,70.83,-,-,-,-,-,-,46.67,48.33,46.67,100,83,
